BGP table version is 0, local router ID is 100.100.174.206
Status codes: s suppressed, d damped, h history, * valid, > best, i - internal,
              r RIB-failure, S Stale, R Removed
Origin codes: i - IGP, e - EGP, ? - incomplete

   Network          Next Hop            Metric LocPrf Weight Path
*> 10.0.147.172/32  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.0.147.173/32  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.0.147.176/31  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.0.147.178/31  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.0.147.180/31  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.0.147.182/31  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.0.147.184/31  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.0.148.0/31    100.100.243.130                        0 65084 64601 i
*> 10.0.148.2/31    100.100.243.130                        0 65084 64601 i
*> 10.0.148.4/31    100.100.243.130                        0 65084 64601 i
*> 10.0.148.6/31    100.100.243.130                        0 65084 64601 i
*> 10.0.148.10/31   100.100.243.130                        0 65084 64601 i
*> 10.0.148.12/31   100.100.243.130                        0 65084 64601 i
*> 10.0.148.14/31   100.100.243.130                        0 65084 64601 i
*> 10.0.148.228/32  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.0.148.229/32  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.0.148.230/31  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.0.148.232/32  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.0.148.233/32  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.0.148.234/32  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.0.148.235/32  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.0.148.236/31  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.0.148.238/31  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.0.148.244/32  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.0.148.245/32  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.0.148.246/31  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.0.148.248/32  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.0.148.249/32  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.0.148.250/31  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.0.151.144/32  100.100.243.130                        0 65084 64601 64619 64698 i
